Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Zopfia rhizophila CBS 207.26 K469scaffold_178_Cont710,649,649,100%,0.0,67.61,52014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAEIT010000710.1?report=genbank&log$=nucltop&blast_rank=52&RID=SVF4UNY7014"",""JAAEIT010000710.1"")"
Zopfia rhizophila CBS 207.26 K469scaffold_1_Cont1,648,648,100%,0.0,67.67,329097,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAEIT010000001.1?report=genbank&log$=nucltop&blast_rank=53&RID=SVF4UNY7014"",""JAAEIT010000001.1"")"
Polyplosphaeria fusca strain CBS 125425 EJ04scaffold_136_Cont236,573,573,78%,3e-160,68.52,88511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAEJQ010000236.1?report=genbank&log$=nucltop&blast_rank=54&RID=SVF4UNY7014"",""JAAEJQ010000236.1"")"
Zopfia rhizophila CBS 207.26 K469scaffold_56_Cont436,548,548,94%,1e-152,66.92,311156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAEIT010000436.1?report=genbank&log$=nucltop&blast_rank=55&RID=SVF4UNY7014"",""JAAEIT010000436.1"")"
Ophiosphaerella korrae isolate HCW2 Contig_223,533,533,77%,2e-148,68.49,65524,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JALNQH010000223.1?report=genbank&log$=nucltop&blast_rank=56&RID=SVF4UNY7014"",""JALNQH010000223.1"")"
Ophiosphaerella korrae isolate KY162 Contig_92,533,533,77%,2e-148,68.49,171242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JALNQF010000092.1?report=genbank&log$=nucltop&blast_rank=57&RID=SVF4UNY7014"",""JALNQF010000092.1"")"
Zopfia rhizophila CBS 207.26 K469scaffold_1_Cont2,529,529,94%,3e-147,66.77,195659,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAEIT010000002.1?report=genbank&log$=nucltop&blast_rank=58&RID=SVF4UNY7014"",""JAAEIT010000002.1"")"
Bimuria novae-zelandiae CBS 107.79 BU23scaffold_1_Cont45,508,508,40%,9e-141,73.90,91711,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAADKI010000045.1?report=genbank&log$=nucltop&blast_rank=59&RID=SVF4UNY7014"",""JAADKI010000045.1"")"
Laburnicola sp. JP-R-44 voucher HMAS 255453 Contig17,467,535,74%,3e-128,68.36,3956871,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SELF01000018"",""SELF01000018.1"")"
Laburnicola sp. JP_R_19 000070F_pilon_pilon,385,465,77%,7e-104,66.95,2450127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/VOIT01000075"",""VOIT01000075.1"")"
Laburnicola rhizohalophila strain JP-R-19 chromosome 8,385,465,77%,7e-104,66.95,4292799,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAUPCS010000008.1?report=genbank&log$=nucltop&blast_rank=62&RID=SVF4UNY7014"",""JAUPCS010000008.1"")"
Corynespora cassiicola isolate GSO2 Contig_1129,353,353,76%,4e-94,65.97,6179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORD01001128"",""PORD01001128.1"")"
Parastagonospora nodorum strain SnSA95.103 ctg08347,346,346,26%,6e-92,74.48,1571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWJ01007671"",""QVWJ01007671.1"")"
Corynespora cassiicola isolate CTHA1 Contig_163,346,346,76%,6e-92,65.91,4422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORN01000163"",""PORN01000163.1"")"
Corynespora cassiicola isolate CTHA3 Contig_1563,346,346,76%,6e-92,65.91,4422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORL01001563"",""PORL01001563.1"")"
Corynespora cassiicola isolate CTHA4 Contig_599,346,346,76%,6e-92,65.91,4470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORK01000599"",""PORK01000599.1"")"
Corynespora cassiicola isolate SMR2 NODE_867_length_2871_cov_127.343,315,315,90%,1e-82,64.76,2871,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMKBF010000865.1?report=genbank&log$=nucltop&blast_rank=68&RID=SVF4UNY7014"",""JAMKBF010000865.1"")"
Corynespora cassiicola strain ZM170522 isolate XJ jcf7180000000104,314,314,90%,4e-82,64.76,5755595,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEUWY010000001.1?report=genbank&log$=nucltop&blast_rank=69&RID=SVF4UNY7014"",""JAEUWY010000001.1"")"
Corynespora cassiicola isolate CTHA1 Contig_1692,313,313,90%,4e-82,64.73,3605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORN01001691"",""PORN01001691.1"")"
Corynespora cassiicola isolate CTHA3 Contig_1807,313,313,90%,4e-82,64.73,3605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORL01001806"",""PORL01001806.1"")"
Corynespora cassiicola isolate CTHA4 Contig_999,313,313,90%,4e-82,64.73,3585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORK01000998"",""PORK01000998.1"")"
Corynespora cassiicola isolate CAL-4 NODE_456_length_17435_cov_69.6674,311,311,90%,1e-81,64.73,17435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/VICL01000456"",""VICL01000456.1"")"
Corynespora cassiicola isolate CVa5 NODE_580_length_14787_cov_31.8144,311,311,90%,1e-81,64.73,14787,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/VICK01000580"",""VICK01000580.1"")"
Corynespora cassiicola isolate FlM4 NODE_465_length_17309_cov_60.7866,311,311,90%,1e-81,64.73,17309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMKBH010000465.1?report=genbank&log$=nucltop&blast_rank=75&RID=SVF4UNY7014"",""JAMKBH010000465.1"")"
Corynespora cassiicola strain ZM170522 isolate XJ jcf7180000000105,308,308,90%,2e-80,64.68,5483362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEUWY010000002.1?report=genbank&log$=nucltop&blast_rank=76&RID=SVF4UNY7014"",""JAEUWY010000002.1"")"
Corynespora cassiicola isolate CM13 NODE_2187_length_3753_cov_12.4848,299,371,63%,8e-78,66.27,3753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMQYD010002041.1?report=genbank&log$=nucltop&blast_rank=77&RID=SVF4UNY7014"",""JAMQYD010002041.1"")"
Zopfia rhizophila CBS 207.26 K469scaffold_280_Cont852,288,288,51%,1e-74,66.57,6808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAEIT010000852.1?report=genbank&log$=nucltop&blast_rank=78&RID=SVF4UNY7014"",""JAAEIT010000852.1"")"
Corynespora cassiicola isolate GSO2 Contig_865,283,394,64%,6e-73,66.26,6893,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORD01000864"",""PORD01000864.1"")"
Corynespora cassiicola strain ZM170522 isolate XJ jcf7180000000112,282,398,49%,6e-73,68.31,124236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEUWY010000009.1?report=genbank&log$=nucltop&blast_rank=80&RID=SVF4UNY7014"",""JAEUWY010000009.1"")"
Corynespora cassiicola strain CC01 Contig16,280,402,66%,2e-72,66.05,1022895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEMHE010000016.1?report=genbank&log$=nucltop&blast_rank=81&RID=SVF4UNY7014"",""JAEMHE010000016.1"")"
Corynespora cassiicola isolate STNa-1 NODE_353_length_29219_cov_83.621,279,401,66%,8e-72,66.05,29219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMQYC010000353.1?report=genbank&log$=nucltop&blast_rank=82&RID=SVF4UNY7014"",""JAMQYC010000353.1"")"
Corynespora cassiicola isolate SAR-9 NODE_363_length_29501_cov_72.4593,279,401,66%,8e-72,66.05,29501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMKBG010000363.1?report=genbank&log$=nucltop&blast_rank=83&RID=SVF4UNY7014"",""JAMKBG010000363.1"")"
Corynespora cassiicola isolate Ssta1 NODE_1026_length_6775_cov_17.4234,279,401,66%,8e-72,66.05,6775,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMKBE010001026.1?report=genbank&log$=nucltop&blast_rank=84&RID=SVF4UNY7014"",""JAMKBE010001026.1"")"
Corynespora cassiicola isolate TCl3 NODE_1027_length_9055_cov_18.3362,279,279,76%,8e-72,65.01,9055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/VICJ01001027"",""VICJ01001027.1"")"
Corynespora cassiicola isolate 1551 NODE_629_length_12138_cov_82.9467,279,279,76%,8e-72,65.01,12138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMKBD010000629.1?report=genbank&log$=nucltop&blast_rank=86&RID=SVF4UNY7014"",""JAMKBD010000629.1"")"
Corynespora cassiicola isolate TCf2 NODE_645_length_12133_cov_78.8179,279,279,76%,8e-72,65.01,12133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMKBC010000645.1?report=genbank&log$=nucltop&blast_rank=87&RID=SVF4UNY7014"",""JAMKBC010000645.1"")"
Parastagonospora nodorum strain Sn Cp2052 ctg03144,278,278,23%,3e-71,73.43,468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWF01003109"",""QVWF01003109.1"")"
